#Time	Parallel	Client
0355	1749	0025
0356	1609	0075
0357	1582	0084
0358	1601	0091
0359	1764	0005
0360	1693	0052
0361	1549	0086
0362	1658	0085
0363	1971	0060
0364	1954	0030
0365	2012	0059
0366	1868	0092
0367	1903	0051
0368	1732	0087
0369	1997	0035
0370	1827	0060
0371	1933	0057
0372	2057	0080
0373	2090	0095
0374	1978	0038
0375	1797	0028
0376	1954	0070
0377	1958	0089
0378	1904	0099
0379	1926	0005
0380	2003	0045
0381	1959	0098
0382	1832	0084
0383	1855	0074
0384	1832	0021
0385	1879	0055
0386	1661	0090
0387	1623	0062
0388	1685	0092
0389	1753	0045
0390	1920	0054
0391	1676	0063
0392	1688	0083
0393	1884	0107
0394	1777	0036
0395	1717	0026
0396	1768	0081
0397	1510	0193
0398	1644	0098
0399	1692	0094
0400	1594	0005
0401	1110	0052
0402	1692	0099
0403	1702	0084
0404	1822	0069
0405	1876	0025
0406	1956	0064
0407	2085	0091
0408	2079	0061
0409	1982	0104
0410	1933	0043
0411	1929	0049
0412	2022	0075
0413	1874	0089
0414	1842	0041
0415	1788	0055
0416	1918	0062
0417	1872	0082
0418	1965	0105
0419	1929	0044
0420	1842	0028
0421	1739	0074
0422	1796	0103
0423	1839	0096
0424	1772	0005
0425	1817	0051
0426	1698	0098
0427	1585	0094
0428	1697	0086
0429	1637	0024
0430	1926	0086
0431	1936	0102
0432	1917	0126
0433	1986	0004
0434	1302	0044
0435	1790	0116
0436	1790	0120
0437	1673	0005
0438	1650	0037
0439	1582	0112
0440	1672	0122
0441	1761	0091
0442	1485	0021
0443	1368	0061
0444	1312	0115
0445	1357	0141
0446	1372	0091
0447	1436	0034
0448	1492	0049
0449	1476	0125
0450	1527	0130
0451	1735	0005
0452	1678	0033
0453	1579	0123
0454	1692	0144
0455	1640	0004
0456	1714	0035
0457	1722	0120
0458	1473	0151
0459	1567	0095
0460	1706	0125
0461	1683	0143
0462	1582	0140
0463	1760	0145
0464	1635	0004
0465	1610	0034
0466	1576	0131
0467	1667	0153
0468	1513	0172
0469	1600	0098
0470	1507	0117
0471	1665	0159
0472	1739	0155
0473	1975	0170
0474	1918	0116
0475	1676	0023
0476	1596	0100
0477	1595	0143
0478	1613	0158
0479	1697	0096
0480	1681	0111
0481	1513	0156
0482	1401	0157
0483	1262	0171
0484	1491	0113
0485	1651	0127
0486	1710	0186
0487	1340	0185
0488	1236	0192
0489	1159	0107
0490	1301	0115
0491	1539	0186
0492	1610	0190
0493	1663	0108
0494	1516	0122
0495	1300	0195
0496	1423	0205
