#Instant	Original	Parallel	Serial
0001		0025		0000		1254
0002		0077		1761		0042
0003		0070		1474		1130
0004		0442		2189		1138
0005		0176		1837		0814
0006		0513		1716		0792
0007		0554		2235		0930
0008		0575		1640		0622
0009		0481		1922		0612
0010		0587		1494		0556
0011		0619		1905		0014
0012		0610		1995		0312
0013		0556		2223		1172
0014		0564		1356		0584
0015		0609		2205		0555
0016		0646		2138		0563
0017		0618		2130		1119
0018		0622		1945		0802
0019		0702		2170		0583
0020		0704		2115		0571
0021		0762		2171		0513
0022		0777		1972		0551
0023		0780		1974		1078
0024		0824		2186		0546
0025		0872		1587		0527
0026		0881		1756		0353
0027		0879		1988		1028
0028		0921		2043		0497
0029		0999		1999		0518
0030		1029		2059		0507
0031		0956		2109		0991
0032		1004		2117		0629
0033		0977		1869		0708
0034		1018		2043		0695
0035		1071		2046		0637
0036		1057		2010		0631
0037		1114		1859		0621
0038		1093		1706		0385
0039		1130		1709		0501
0040		1080		1805		0494
0041		1132		1718		0403
0042		1124		1706		0489
0043		1196		1362		0970
0044		1185		1782		0479
0045		1365		1763		0494
0046		1501		1735		0481
0047		1445		1801		0956
0048		1539		1907		0476
0049		1423		1933		0496
0050		1539		1885		0474
0051		1570		1878		1038
0052		1519		1783		0611
0053		1460		1678		0684
0054		1499		1776		0691
0055		1533		1505		0550
0056		1542		1549		0478
0057		1575		1680		0510
0058		1518		1685		0299
0059		1482		1731		0474
0060		1487		1795		0465
0061		1524		1651		0425
0062		1534		1820		0475
0063		1473		1717		0943
0064		1515		1648		0458
0065		1505		1735		0469
0066		1500		1738		0484
0067		1474		1263		0934
0068		1423		1663		0472
0069		1438		1756		0468
0070		1515		1878		0486
0071		1477		1784		0945
0072		1447		1850		0700
0073		1366		1954		1056
0074		1448		1999		0603
0075		1488		2053		0473
0076		1463		1960		0476
0077		1514		2091		0251
0078		1430		2052		0588
0079		1494		2110		0591
0080		1455		1948		0586
0081		1445		2164		0607
0082		1441		2085		0578
0083		1519		1944		0604
0084		1542		2047		0581
0085		1521		1975		0566
0086		1525		1827		0588
0087		1400		1810		0589
0088		0441		1792		0576
0089		0748		1892		0581
0090		1487		1855		0583
0091		1497		1822		1020
0092		1489		1721		0481
0093		1476		1768		0464
0094		1517		1707		0117
0095		1487		1672		0491
0096		1548		1759		0465
0097		1518		1434		0476
0098		1520		1761		0459
0099		1529		1726		0909
0100		1566		1641		0476
0101		1522		1676		0464
0102		1514		1706		0456
0103		1549		1755		0928
0104		1573		1872		0451
0105		1569		1941		0475
0106		1537		1737		0448
0107		1508		1595		1015
0108		1476		1586		0930
0109		1568		1551		0526
0110		1541		1622		0440
0111		1561		1545		0403
0112		1509		1510		0498
0113		1555		1501		0569
0114		1525		1416		0562
0115		1530		1499		0558
0116		1495		1594		0543
0117		1530		1810		0538
0118		1582		1856		0523
0119		1566		1855		0550
0120		1563		1730		0561
0121		1517		1712		0552
0122		1528		1539		0548
0123		1573		1415		0554
0124		1559		1449		0550
0125		1559		1337		0554
0126		1502		1375		0553
0127		1529		1318		0860
