2008-07-31	99990 
2008-08-01	99657 
2008-08-02	99236 
2008-08-03	98742 
2008-08-04	97574 
2008-08-05	96114 
2008-08-06	94419 
2008-08-07	92807 
2008-08-08	91477 
2008-08-09	90825 
2008-08-10	90244 
2008-08-11	89092 
2008-08-12	87612 
2008-08-13	86181 
2008-08-14	84378 
2008-08-15	82656 
2008-08-16	81773 
2008-08-17	80768 
2008-08-18	78543 
2008-08-19	75701 
2008-08-20	72508 
2008-08-21	68770 
2008-08-22	65531 
2008-08-23	63830 
2008-08-24	62344 
2008-08-25	59545 
2008-08-26	56145 
2008-08-27	52453 
2008-08-28	48513 
2008-08-29	45125 
2008-08-30	43129 
2008-08-31	41376 
2008-09-01	38600 
2008-09-02	34280 
2008-09-03	30195 
2008-09-04	25970 
2008-09-05	22105 
2008-09-06	20017 
2008-09-07	17761 
2008-09-08	12963 
2008-09-09	7637  
2008-09-10	2437  
2008-09-11	0     
