#workload D
#throughput latency 			min 	max 		95th 	99th 
0.1			1566.3203652242955 	1116 	40576 		3 		5
1 			1437.968685505636 	780 	154886 		2 		3
2 			1646.2289914283426 	668 	470290 		2 		24
5			1252.483018108652 	653 	302889 		12 		21
10 			1404.938609701966 	667 	208893 		13 		22
15 			1857.149303198498 	648 	349909 		12 		21
20 			1716.4615138037425 	663 	503310 		12 		21 #2 nodes
30 			2197.374649354813 	688 	482498 		13 		23 #2 nodes
40 	 		2073.164814518708 	575 	478153 		11 		22 #3 nodes
